Index,Molecule,Functional,Multiplicity,SpinRestricted,Precision,OrbitalThreshold,EnergyThreshold,MRChemVersion,Ncores,Walltime,SCFCycles,Energy,Completed
mg_3,MgF,PBE0,2,False,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,888.354427886,14,-299.81986449508656,True
mg_4,MgF2,PBE0,1,True,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,1484.025704517,13,-399.7155420066223,True
mg_5,MgO,PBE0,1,True,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,1069.546631156,18,-275.07198371395947,True
mg_6,LiMg,PBE0,2,False,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,1298.132196836,24,-207.44814040060584,True
na_1,Na2,PBE0,1,True,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,592.109439003,10,-324.3948000305321,True
na_2,NaH,PBE0,1,True,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,536.394141754,10,-162.7518250038592,True
na_3,NaF,PBE0,1,True,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,903.116310777,15,-262.03796444670496,True
na_4,Na2F2,PBE0,1,True,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,1894.417938925,13,-524.1675448444844,True
na_5,NaO,PBE0,2,False,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,1024.711764536,18,-237.3038664182587,True
na_6,NaOH,PBE0,1,True,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,1092.139029727,16,-237.99347973906978,True
p_1,P2,PBE0,1,True,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,1119.228676707,11,-682.4705049521384,True
p_10,PF6,PBE0,2,False,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,21598.860784481,58,-940.0919360286719,True
p_11,PO,PBE0,2,False,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,1224.261478705,18,-416.3922068040382,True
p_12,PO2,PBE0,2,False,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,2323.295853615,20,-491.61111130045276,True
p_13,PN,PBE0,1,True,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,955.336459786,14,-395.91440151713823,True
p_14,LiP,PBE0,3,False,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,1282.937255237,16,-348.6793852016819,True
p_15,PHF2,PBE0,1,True,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,1541.140650314,15,-541.4959356425247,True
p_16,N3P3,PBE0,1,True,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,6012.652140717,18,-1187.9091399131037,True
p_2,P4,PBE0,1,True,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,3158.623912317,14,-1365.0528229267195,True
p_3,PH,PBE0,3,False,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,696.620191576,13,-341.76566139565443,True
p_4,PH2,PBE0,2,False,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,755.228149838,12,-342.3930465884525,True
p_5,PH3,PBE0,1,True,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,708.029321091,12,-343.0288751520926,True
p_6,PF,PBE0,3,False,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,1387.912480307,19,-441.00317898326153,True
p_7,PF2,PBE0,2,False,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,2151.985244111,17,-540.8745560032296,True
p_8,PF3,PBE0,1,True,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,2422.844090974,16,-640.758318501453,True
p_9,PF5,PBE0,1,True,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,5517.185946645,16,-840.4255621723645,True
s_1,S2,PBE0,3,False,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,1670.866331034,16,-796.1441839042344,True
s_10,SF6,PBE0,1,True,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,6458.511900332,17,-996.8370666393968,True
s_11,SO2,PBE0,1,True,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,2468.462277342,22,-548.4389830716204,True
s_12,SO3,PBE0,1,True,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,2639.325602982,16,-623.6017666209843,True
s_13,S2O,PBE0,1,True,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,5182.700177031,29,-871.2745750216128,True
s_14,CS,PBE0,1,True,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,989.996976355,16,-436.06227408291824,True
s_15,BeS,PBE0,1,True,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,896.547361334,15,-412.75244684846075,True
s_16,LiS,PBE0,2,False,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,1204.576003624,19,-405.569389598893,True
s_17,NSF,PBE0,1,True,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,2532.929853741,23,-552.5352395786431,True
s_2,HS,PBE0,2,False,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,884.820973682,16,-398.6263340491857,True
s_3,H2S,PBE0,1,True,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,849.536914769,14,-399.27628054273583,True
s_4,H2S2,PBE0,1,True,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,1712.057296532,16,-797.3596574946715,True
s_5,SF,PBE0,2,False,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,1573.190002148,20,-497.8046416697524,True
s_6,SF2,PBE0,1,True,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,2480.629783036,21,-597.6293051152877,True
s_7,SF3,PBE0,2,False,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,4285.000233707,26,-697.4060618913335,True
s_8,SF4,PBE0,1,True,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,3583.920013161,17,-797.2410962640065,True
s_9,SF5,PBE0,2,False,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,7403.083689459,24,-896.9859849592891,True
si_1,Si2,PBE0,3,False,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,2452.684642741,28,-578.6333833621595,True
si_10,SiO,PBE0,1,True,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,862.536238241,15,-364.5747561228616,True
si_11,SiO2,PBE0,1,True,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,1738.622886252,16,-439.7612703474197,True
si_12,SiH3F,PBE0,1,True,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,1463.55389814,13,-391.03712834038896,True
si_2,SiH,PBE0,2,False,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,815.368004169,15,-289.8744210494146,True
si_3,SiH2,PBE0,1,True,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,688.009625152,14,-290.49682156622504,True
si_4,SiH3,PBE0,2,False,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,729.177536307,13,-291.1195969629136,True
si_5,SiH4,PBE0,1,True,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,629.172984345,10,-291.767774564574,True
si_6,SiF,PBE0,2,False,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,1157.56489159,17,-389.16315639735313,True
si_7,SiF2,PBE0,1,True,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,1298.012628087,13,-489.0852156074673,True
si_8,SiF3,PBE0,2,False,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,2286.583538351,16,-588.938184500052,True
si_9,SiF4,PBE0,1,True,1e-06,4.9999999999999996e-05,1e-06,1.1.0-alpha,180,2506.433896948,13,-688.8760769773401,True
